iter	Logloss
0	0.6817279199
1	0.6706867537
2	0.660441901
3	0.6495559898
4	0.6396788718
5	0.6272131798
6	0.6181431313
7	0.6093302846
8	0.5992190019
9	0.5906171781
10	0.5826249496
11	0.5737203243
12	0.5649916875
13	0.5558929593
14	0.5475962432
15	0.5394536217
16	0.5306984026
17	0.5222753413
18	0.5156182233
19	0.5079288899
20	0.4993723697
21	0.4920396788
22	0.4838747312
23	0.476002868
24	0.4680512405
25	0.460176311
26	0.4527753331
27	0.4449512245
28	0.439643539
29	0.4341012829
30	0.4289964558
31	0.4223486116
32	0.4166144203
33	0.4107033451
34	0.4049570528
35	0.3995797688
36	0.3943527083
37	0.3890518469
38	0.3836369584
39	0.378389171
40	0.3738152442
41	0.3681787553
42	0.3635737769
43	0.358511631
44	0.3546593064
45	0.3500909711
46	0.346136361
47	0.3405900787
48	0.3360147915
49	0.3309392246
50	0.3264840581
51	0.3219522108
52	0.3184475334
53	0.3132684608
54	0.3093818993
55	0.3060350102
56	0.3021957164
57	0.2980472418
58	0.2934833792
59	0.2892042069
60	0.2858128891
61	0.2826960103
62	0.2801197727
63	0.2768040021
64	0.2736773389
65	0.2702536089
66	0.267120646
67	0.2644700735
68	0.2614283914
69	0.2580679547
70	0.2547406371
71	0.2510174755
72	0.2482883259
73	0.2452614554
74	0.2421050837
75	0.2396699434
76	0.2375841228
77	0.2347405005
78	0.2323953772
79	0.2299040977
80	0.2273443863
81	0.2255231597
82	0.2231435802
83	0.2208314027
84	0.218189068
85	0.2163367501
86	0.2140806386
87	0.211720254
88	0.209643532
89	0.20798233
90	0.2061323874
91	0.2036242005
92	0.2019652494
93	0.2002146136
94	0.1984922968
95	0.1957764248
96	0.1944596724
97	0.1924826312
98	0.1908639981
99	0.1892711818
100	0.1871940373
101	0.1849450852
102	0.1831860809
103	0.181574186
104	0.1800869306
105	0.1782980674
106	0.1768945453
107	0.1753003332
108	0.1737139006
109	0.1718328194
110	0.1698640544
111	0.1684157774
112	0.1671693649
113	0.1656069984
114	0.1638035066
115	0.1621871686
116	0.1609922089
117	0.1593731003
118	0.1585002404
119	0.1571354049
120	0.1557502817
121	0.153768812
122	0.1522708528
123	0.150877947
124	0.149456075
125	0.1483383687
